Numer;Nazwa;M.;Pkt.;Z.;R.;P.;Bramki
1.;MKS Siechnice;11;28;9;1;1;56-20
2.;Czarni Sobocisko;11;26;8;2;1;50-18
3.;Burza Chwalibozyce;11;21;7;0;4;43-35
4.;Moto Jelcz II Olawa;11;19;6;1;4;51-23
5.;Sokol II Marcinkowice;11;19;5;4;2;39-31
6.;Lotos Gaj Olawski;11;17;5;2;4;27-32
7.;Szaluna Zebice;11;16;5;1;5;32-39
8.;Orzel Swieta Katarzyna;11;13;4;1;6;34-40
9.;Odra Kotowice;11;10;2;4;5;15-28
10.;Zorza Niemil;11;8;2;2;7;20-28
11.;Polonia Godzikowice;11;5;1;2;8;13-54
12.;Jankowianka Wierzbno;11;5;1;2;8;18-50
